step,lr,train_mse,val_mse,test_mse
250,0.00029996500188581357,0.1679057851433754,0.16757852109273275,0.16624175707499186
500,0.00029869868391206583,0.16177042722702026,0.16241163889567056,0.1616408894856771
750,0.0002956278713954945,0.1574825569987297,0.15676801458994546,0.15627904065450032
1000,0.00029078982938971274,0.1515682280063629,0.15156729523340862,0.15061795616149903
1250,0.0002842432687061932,0.14521933098634085,0.1457040058771769,0.14486530462900798
1500,0.00027606763344435135,0.14000590592622758,0.1421759141286214,0.14132134755452475
1750,0.00026636213691815864,0.13642902572949728,0.13556162309646608,0.1353214308420817
2000,0.0002552445576785488,0.12873508085807164,0.12939433288574217,0.12941389815012613
2250,0.00024284981024217723,0.12411174476146698,0.12311832459767659,0.12321084547042847
2500,0.00022932830787108613,0.11616690158843994,0.11581359163920085,0.1158440515200297
2750,0.00021484413727134105,0.1089904859662056,0.10863194545110066,0.1081692902247111
3000,0.0001995730673611123,0.10222097064057986,0.10237363052368165,0.10143211078643799
3250,0.0001837004162722831,0.09394841144482295,0.09570342795054118,0.09475764274597168
3500,0.00016741880247003691,0.08934997469186783,0.09021766408284505,0.08947637971242269
3750,0.00015092580728113167,0.08411031439900399,0.08452338043848673,0.0839675079981486
4000,0.00013442157719664732,0.07887030864755312,0.07963186740875244,0.07912288920084636
4250,0.00011810639504584251,0.0725099079310894,0.07280439098676046,0.07231937551498413
4500,0.00010217824951551496,0.06962681114673615,0.069506858030955,0.06893629201253255
4750,8.683043250933607e-05,0.06657356594999632,0.06668087959289551,0.0662842096487681
5000,7.224919350378584e-05,0.0637510313342015,0.06459396958351135,0.06442544929186503
5250,5.8611479365648133e-05,0.06256133876740932,0.06295206737518311,0.06251531195640564
5500,4.608278705892711e-05,0.06106428404649099,0.06150509818394979,0.061103369077046714
5750,3.481515529910708e-05,0.06059128555158774,0.0609804257551829,0.06051452398300171
6000,2.4945319526517525e-05,0.06014108608166377,0.06006522544225057,0.059694002866745
6250,1.6593052588648726e-05,0.058569872627655666,0.059502118428548176,0.059119855721791584
6500,9.859711267639441e-06,0.05928980931639671,0.05923402500152588,0.05881030130386353
6750,4.827006291177826e-06,0.05848305796583494,0.059071943203608195,0.058634216070175174
7000,1.5560107530314003e-06,0.05905903254946073,0.05893498500188192,0.05851019732157389
7250,8.641897626271433e-08,0.05817088099817435,0.05891507077217102,0.05847919130325317
7326,1.4577040674534913e-11,0.05911099165678024,0.058913864692052204,0.05847814695040385
