step,lr,train_mse,val_mse,test_mse
250,0.00029996500188581357,0.16789532055457432,0.1686849333445231,0.16720867156982422
500,0.00029869868391206583,0.16700787643591564,0.16881054051717123,0.16751161321004232
750,0.0002956278713954945,0.1682768628001213,0.16884241930643717,0.16735714276631672
1000,0.00029078982938971274,0.16757357567548753,0.16882432079315185,0.1672329346338908
1250,0.0002842432687061932,0.16479141811529796,0.16547227986653645,0.16436841615041098
1500,0.00027606763344435135,0.16041074047485987,0.16194204394022624,0.1611904001235962
1750,0.00026636213691815864,0.15871546566486358,0.15811499055226644,0.15715235265096028
2000,0.0002552445576785488,0.15482796976963678,0.1551717535654704,0.15441892751057942
2250,0.00024284981024217723,0.1530505821108818,0.15360583337148032,0.1529965394337972
2500,0.00022932830787108613,0.15081630448500316,0.1512407620747884,0.15046315193176268
2750,0.00021484413727134105,0.1488599732518196,0.1485218431154887,0.1478842182159424
3000,0.0001995730673611123,0.14395771274964014,0.14585336383183797,0.145427250067393
3250,0.0001837004162722831,0.14222809175650278,0.14254995123545328,0.14202023792266846
3500,0.00016741880247003691,0.1389123186469078,0.13924933624267577,0.1387538202603658
3750,0.00015092580728113167,0.13476706991593043,0.13479139105478924,0.1341639143625895
4000,0.00013442157719664732,0.13090250343084336,0.13068933868408203,0.13011104933420817
4250,0.00011810639504584251,0.12714086373647054,0.12767430114746095,0.1268272148768107
4500,0.00010217824951551496,0.12366602371136347,0.12412252108256022,0.12325977468490601
4750,8.683043250933607e-05,0.12206874638795853,0.12212566057840983,0.12116475137074788
5000,7.224919350378584e-05,0.11875289703408877,0.11928477255503336,0.11812865034739177
5250,5.8611479365648133e-05,0.1159147709608078,0.11712087027231852,0.11607224353154501
5500,4.608278705892711e-05,0.11525177285075187,0.11560836601257324,0.11443563715616863
5750,3.481515529910708e-05,0.11366060947378477,0.11473459402720133,0.11351675097147623
6000,2.4945319526517525e-05,0.11327512338757514,0.11391654984156291,0.11268808937072754
6250,1.6593052588648726e-05,0.11176590522130331,0.11330540116628011,0.11208160972595214
6500,9.859711267639441e-06,0.11091496596733728,0.11314548015594482,0.11185691086451213
6750,4.827006291177826e-06,0.11177987878521284,0.11272827116648357,0.11146033477783203
7000,1.5560107530314003e-06,0.11259593342741331,0.11260224024454753,0.11136945629119874
7250,8.641897626271433e-08,0.11164562304814657,0.11258120679855346,0.1113427661259969
7326,1.4577040674534913e-11,0.11268281936645508,0.11257826296488443,0.11134055010477702
